"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","625","Create Activity","POST API Test","Tue Jan 21 12:30:57 GMT 2025","passed","Tue Jan 21 12:30:58 GMT 2025","","","",""
"","123","Get Activity Details By ID","GET API Test","Tue Jan 21 12:31:04 GMT 2025","passed","Tue Jan 21 12:31:05 GMT 2025","","","",""
"","127","Create Activity failed","POST API Test","Tue Jan 21 12:30:58 GMT 2025","passed","Tue Jan 21 12:30:58 GMT 2025","","","",""
"","160","Update Activity","PUT API Tests","Tue Jan 21 12:31:08 GMT 2025","passed","Tue Jan 21 12:31:08 GMT 2025","","","",""
"","147","Delete Activity","Delete API Test","Tue Jan 21 12:31:01 GMT 2025","passed","Tue Jan 21 12:31:01 GMT 2025","","","",""
"","142","Get All Activity Details","GET API Test","Tue Jan 21 12:31:04 GMT 2025","passed","Tue Jan 21 12:31:04 GMT 2025","","","",""
