"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 14 12:49:07 GMT 2022","Tue Jun 14 12:49:08 GMT 2022","570","","POST API Test","","","","Create Activity",""
"passed","Tue Jun 14 12:49:14 GMT 2022","Tue Jun 14 12:49:14 GMT 2022","135","","GET API Test","","","","Get Activity Details By ID",""
"passed","Tue Jun 14 12:49:16 GMT 2022","Tue Jun 14 12:49:16 GMT 2022","187","","PUT API Tests","","","","Update Activity",""
"passed","Tue Jun 14 12:49:14 GMT 2022","Tue Jun 14 12:49:14 GMT 2022","144","","GET API Test","","","","Get All Activity Details",""
"failed","Tue Jun 14 12:49:08 GMT 2022","Tue Jun 14 12:49:09 GMT 2022","748","","POST API Test","","","","Create Activity failed",""
"passed","Tue Jun 14 12:49:11 GMT 2022","Tue Jun 14 12:49:11 GMT 2022","236","","Delete API Test","","","","Delete Activity",""
